"","Jurisdiction","NumberCases31.03.20","CumulativeIncidence31.03.20","NumberCases07.04.20","NumberDeath07.04.20","CumulativeIncidence07.04.20","Absolute.change.in.cumulative.incidence."
"1","Alabama","999","20.4","2197","39 1.","44.9","24.5"
"2","Alaska","133","18.0","213","6 2.","28.9","10.8"
"3","Arizona","1289","18.0","2575","73 2.","35.9","17.9"
"4","Arkansas","560","18.6","993","18 1.","32.9","14.4"
"5","California","8131","20.6","15865","374 2.","40.1","19.6"
"6","Colorado","2966","52.1","5429","179 3.","95.3","43.2"
"7","Connecticut","3128","87.6","7781","277 3.","217.8","130.2"
"8","Delaware","319","33.0","928","16 1.","95.9","63.0"
"9","District of Columbia","495","70.5","1211","24 2.","172.4","101.9"
"10","Florida","6490","30.5","14302","296 2.","67.1","36.7"
"11","Georgia","4585","43.6","9713","351 3.","92.3","48.7"
"12","Hawaii","185","13.0","362","5 1.","25.5","12.5"
"13","Idaho","525","29.9","1210","15 1.","69.0","39.0"
"14","Illinois","5994","47.0","13549","380 2.","106.3","59.3"
"15","Indiana","2159","32.3","5507","173 3.","82.3","50.0"
"16","Iowa","497","15.7","1048","26 2.","33.2","17.5"
"17","Kansas","428","14.7","900","27 3.","30.9","16.2"
"18","Kentucky","591","13.2","1149","65 5.","25.7","12.5"
"19","Louisiana","5237","112.4","16284","582 3.","349.4","237.1"
"20","Maine","303","22.6","519","12 2.","38.8","16.1"
"21","Maryland","1660","27.5","5529","124 2.","91.5","64.0"
"22","Massachusetts","6620","95.9","15202","356 2.","220.3","124.3"
"23","Michigan","7615","76.2","18970","845 4.","189.8","113.6"
"24","Minnesota","689","12.3","1154","39 3.","20.6","8.3"
"25","Mississippi","1073","35.9","2003","67 3.","67.1","31.1"
"26","Missouri","1327","21.7","3037","53 1.","49.6","27.9"
"27","Montana","203","19.1","332","6 1.","31.3","12.1"
"28","Nebraska","177","9.2","478","10 2.","24.8","15.6"
"29","Nevada","1113","36.7","2087","71 3.","68.8","32.1"
"30","New Hampshire","367","27.1","747","13 1.","55.1","28.0"
"31","New Jersey","18696","209.9","44416","1232 2.","498.6","288.7"
"32","New Mexico","315","15.0","794","13 1.","37.9","22.9"
"33","New York†","32656","293.1","61897","1378 2.","555.5","262.4"
"34","New York City","41771","497.3","76876","4111 5.","915.3","418.0"
"35","North Carolina","1584","15.3","3221","46 1.","31.0","15.8"
"36","North Dakota","126","16.6","237","4 1.","31.2","14.6"
"37","Ohio","2199","18.8","4782","167 3.","40.9","22.1"
"38","Oklahoma","565","14.3","1472","67 4.","37.3","23.0"
"39","Oregon","690","16.5","1181","33 2.","28.2","11.7"
"40","Pennsylvania","4843","37.8","14559","240 1.","113.7","75.9"
"41","Rhode Island","520","49.2","1414","30 2.","133.7","84.6"
"42","South Carolina","1083","21.3","2417","51 2.","47.5","26.2"
"43","South Dakota","108","12.2","320","6 1.","36.3","24.0"
"44","Tennessee","2239","33.1","4139","72 1.","61.1","28.1"
"45","Texas","3266","11.4","8262","154 1.","28.8","17.4"
"46","Utah","934","29.5","1804","13 0.","57.1","27.5"
"47","Vermont","293","46.8","575","23 4.","91.8","45.0"
"48","Virginia","1484","17.4","3645","75 2.","42.8","25.4"
"49","Washington","4896","65.0","8682","394 4.","115.2","50.2"
"50","West Virginia","162","9.0","412","4 1.","22.8","13.8"
"51","Wisconsin","1351","23.2","2578","92 3.","44.3","21.1"
"52","Wyoming","120","20.8","221","0 —)","38.3","17.5"
"53","American Samoa","0","0.0","0","0 —)","0.0","0.0"
"54","Federated States of Micronesia","0","0.0","0","0 —)","0.0","0.0"
"55","Guam","71","42.8","122","4 3.","73.6","30.8"
"56","Marshall Islands","0","0.0","0","0 —)","0.0","0.0"
"57","Northern Mariana Islands","2","3.5","8","2 25.","14.1","10.5"
"58","Palau","0","0.0","0","0 —)","0.0","0.0"
"59","Puerto Rico","239","7.5","573","23 4.","17.9","10.5"
"60","U.S. Virgin Islands","30","28.0","45","1 2.","42.1","14.0"
"61","U.S. Total","186101","56.2","395926","12757 3.","119.6","63.4"
